id;typ;maszyna;operacja;nazwa_czesci;cecha;zuzycie
199;RS-23120 CC;NP-440R;Kucie - Stanowisko  III;£apki;LKy-5/3-23;600000
200;RS-23120 CC;NP-440R;Kucie - Stanowisko  III;Wypychacz;LKw-5/3-49;1000000
201;RS-23120 CC;NP-440R;Kucie - Stanowisko  III;Stempel;LKs-5/3-54B;300000
202;RS-23120 CC;NP-440R;Kucie - Stanowisko IV (matrycowe);Wk³adka matr.(bary³ki);LKm-5/4/2-53;40000
203;RS-23120 CC;NP-440R;Kucie - Stanowisko IV (matrycowe);Wypychacz;LKw-5/4-44;300000
204;RS-23120 CC;NP-440R;Kucie - Stanowisko IV (matrycowe);G³ówka wypychacza;LKw-5/4/2-10;300000
205;RS-23120 CC;NP-440R;Kucie - Stanowisko IV (matrycowe);£apki;LKy-5/4-32;300000
206;RS-23120 CC;NP-440R;Kucie - Stanowisko V (stemplowe);Wk³adka stem.(bary³ki);LKs-5/5/5-39;40000
207;RS-23120 CC;NP-440R;Kucie - Stanowisko V (stemplowe);Wypychacz;LKw-5/5/1-31;40000
208;RS-23218 CC;NP-440R;Kucie - Ciêcie  i  podawanie  materia³u;NóŸ ucinaj¹cy;LKn-5a_5-30;500000
209;RS-23218 CC;NP-440R;Kucie - Ciêcie  i  podawanie  materia³u;Tulejka tn¹ca;LKt-5a-21;500000
210;RS-23218 CC;NP-440R;Kucie - Stanowisko  I;Wypychacz;LKw-5/1-5;1000000
211;RS-23218 CC;NP-440R;Kucie - Stanowisko  I;Wkladka matrycy;LKm-5/1/2-31;150000
212;RS-23218 CC;NP-440R;Kucie - Stanowisko  I;Stempel;LKs-5/1-27C;210000
213;RS-23218 CC;NP-440R;Kucie - Stanowisko  I;Gniazdo;LKm-5/1/3-27;150000
214;RS-23218 CC;NP-440R;Kucie - Stanowisko  I;£apki podaj¹ce;LKy-5/1-24;300000
215;RS-23218 CC;NP-440R;Kucie - Stanowisko  II;Wypychacz;LKw-5/1-5;1000000
216;RS-23218 CC;NP-440R;Kucie - Stanowisko  II;Wklad.matr.(walc.bar);LKm-5/2/1-29;150000
217;RS-23218 CC;NP-440R;Kucie - Stanowisko  II;Stempel;LKs-5/2-26B;500000
218;RS-23218 CC;NP-440R;Kucie - Stanowisko  II;Gniazdo;LKm-5/2/2-27;140000
219;RS-23218 CC;NP-440R;Kucie - Stanowisko  II;£apki;LKy-5/2-25;600000
220;RS-23218 CC;NP-440R;Kucie - Stanowisko  III;Wk³adka matrycy;LKm-5/3/1-54;250000
221;RS-23218 CC;NP-440R;Kucie - Stanowisko  III;Gniazdo (bary³ki);LKm-5/3/2-45;1000000
222;RS-23218 CC;NP-440R;Kucie - Stanowisko  III;Wypychacz;LKw-5/3-28;1000000
223;RS-23218 CC;NP-440R;Kucie - Stanowisko  III;£apki;LKy-5/3-24;600000
224;RS-23218 CC;NP-440R;Kucie - Stanowisko  III;Stempel;LKs-5/3-55B;500000
225;RS-23218 CC;NP-440R;Kucie - Stanowisko IV (matrycowe);Wk³adka matr.(bary³ki);LKm-5/4/2-55;40000
226;RS-23218 CC;NP-440R;Kucie - Stanowisko IV (matrycowe);Wypychacz;LKw-5/4-41;600000
227;RS-23218 CC;NP-440R;Kucie - Stanowisko IV (matrycowe);G³ówka wypychacza;LKw-5/4/2-6;600000
228;RS-23218 CC;NP-440R;Kucie - Stanowisko IV (matrycowe);£apki;LKy-5/4-34;300000
229;RS-23218 CC;NP-440R;Kucie - Stanowisko V (stemplowe);Wk³adka stem.(bary³ki);LKs-5/5/5-41;30000
230;RS-23218 CC;NP-440R;Kucie - Stanowisko V (stemplowe);Wypychacz;LKw-5/5/1-33;40000
231;RS-22218 E/VX5A1;NP-460R;Kucie - Ciêcie  i  podawanie  materia³u;NóŸ ucinaj¹cy;LKn-6A/5-24;500000
